epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9199,1.26285,3.05654,1.36682,0.49592,0.5972,0.53925,0.33282,1.29813,2.44122,1.34427,0.000472882,0.000472882,0.000472882
2,127.872,1.29712,2.35971,1.36607,0.52752,0.38111,0.40014,0.22883,1.41634,2.59731,1.51155,0.000902229,0.000902229,0.000902229
3,195.403,1.3288,2.07068,1.36805,0.54346,0.51623,0.53571,0.3224,1.42782,1.84224,1.40398,0.00128442,0.00128442,0.00128442
4,261.673,1.30549,1.78204,1.36247,0.56893,0.56674,0.60094,0.3558,1.35289,1.64861,1.37197,0.00121679,0.00121679,0.00121679
5,326.337,1.28558,1.65017,1.36317,0.75722,0.56816,0.67779,0.42632,1.27134,1.44737,1.3092,0.00114606,0.00114606,0.00114606
6,390.437,1.22724,1.44848,1.30326,0.74922,0.72626,0.75702,0.51968,1.17323,1.35134,1.24153,0.00107532,0.00107532,0.00107532
7,456.592,1.18264,1.37146,1.26767,0.77598,0.74991,0.78898,0.54054,1.0935,1.19691,1.17722,0.00100459,0.00100459,0.00100459
8,522.705,1.15668,1.27706,1.26886,0.79498,0.78066,0.83185,0.56777,1.08691,1.06449,1.18039,0.000933851,0.000933851,0.000933851
9,588.347,1.12238,1.22595,1.24318,0.76514,0.80052,0.83472,0.59934,1.0426,1.0335,1.13108,0.000863116,0.000863116,0.000863116
10,654.169,1.07463,1.10721,1.21139,0.81779,0.7888,0.85648,0.59407,1.04478,1.00939,1.15855,0.00079238,0.00079238,0.00079238
11,716.374,0.98534,0.90705,1.17063,0.8366,0.81485,0.86445,0.62838,1.02423,0.88372,1.13379,0.000721645,0.000721645,0.000721645
12,778.695,0.96921,0.85868,1.14988,0.8702,0.78853,0.87569,0.63709,1.06179,0.90438,1.18684,0.000650909,0.000650909,0.000650909
13,842.852,0.93355,0.78918,1.133,0.89024,0.78779,0.87897,0.63415,1.01601,0.86667,1.15592,0.000580174,0.000580174,0.000580174
14,907.44,0.90673,0.74977,1.11773,0.92246,0.83656,0.90826,0.66431,0.97136,0.8038,1.12495,0.000509438,0.000509438,0.000509438
15,971.572,0.88963,0.6954,1.10985,0.86895,0.868,0.91226,0.68391,0.93706,0.76186,1.08965,0.000438703,0.000438703,0.000438703
16,1033.74,0.8548,0.64079,1.07744,0.92512,0.8753,0.92561,0.715,0.89239,0.6729,1.0564,0.000367967,0.000367967,0.000367967
17,1097.72,0.80537,0.5886,1.05166,0.91507,0.86653,0.924,0.7084,0.90491,0.68094,1.07166,0.000297232,0.000297232,0.000297232
18,1161.57,0.78237,0.57988,1.04049,0.9193,0.91206,0.93799,0.73556,0.8606,0.61744,1.04358,0.000226497,0.000226497,0.000226497
19,1226.6,0.76081,0.54832,1.0165,0.93484,0.89921,0.94074,0.73317,0.85895,0.60164,1.03505,0.000155761,0.000155761,0.000155761
20,1291.31,0.73467,0.49185,1.01271,0.94052,0.89898,0.9412,0.74989,0.84756,0.59469,1.03796,8.50255e-05,8.50255e-05,8.50255e-05
